Code,Date
AMBR,1/17/2025
INOV,1/17/2025
KKFI,1/17/2025
MAGP,1/17/2025
JAKO,1/17/2025
EDST,1/17/2025
JUSK,1/17/2025
ENER,1/17/2025
MLKR,1/17/2025
GDKM,1/17/2025
BIKF,1/17/2025
JULI,1/17/2025
CKBKO,1/17/2025
GRDN,1/17/2025
OMOS,1/17/2025
GALE,1/17/2025
INDI,1/17/2025
IJUG,1/17/2025
CBNG,1/17/2025
PROT,1/17/2025
OSPO,1/17/2025
KMPR,1/17/2025
ATPP,1/17/2025
ALKB,1/17/2025
APTK,1/17/2025
DIMI,1/17/2025
INPR,1/17/2025
GTRG,1/17/2025
CKB,1/17/2025
BANA,1/17/2025
INTP,1/17/2025
ALK,1/17/2025
INB,1/17/2025
OPFO,1/17/2025
BIM,1/17/2025
AUMK,1/17/2025
CEVI,1/17/2025
EVRO,1/17/2025
BLTU,1/17/2025
MAKS,1/17/2025
GRZD,1/17/2025
MKSD,1/17/2025
GECK,1/17/2025
KLST,1/17/2025
LOTO,1/17/2025
GRNT,1/17/2025
INHO,1/17/2025
AMEH,1/17/2025
KOMU,1/17/2025
SNBTO,1/17/2025
FERS,1/17/2025
EUHA,1/17/2025
LOZP,1/17/2025
MZHE,1/17/2025
MERM,1/17/2025
KJUBI,1/17/2025
KONF,1/17/2025
BGOR,1/17/2025
FUBT,1/17/2025
ADIN,1/17/2025
KPSS,1/17/2025
KMB,1/17/2025
GTC,1/17/2025
KONZ,1/17/2025
MODA,1/17/2025
SNBT,1/17/2025
KVAS,1/17/2025
MTUR,1/17/2025
OPTK,1/17/2025
DEBA,1/17/2025
KARO,1/17/2025
MB,1/17/2025
TIGA,1/17/2025
FAKM,1/17/2025
GECT,1/17/2025
NOSK,1/17/2025
ORAN,1/17/2025
MZPU,1/17/2025
MPT,1/17/2025
TASK,1/17/2025
SKP,1/17/2025
NEME,1/17/2025
POPK,1/17/2025
OTEK,1/17/2025
PPIV,1/17/2025
OKTA,1/17/2025
MPOL,1/17/2025
MAKP,1/17/2025
RIMI,1/17/2025
RZLE,1/17/2025
TAJM,1/17/2025
OILK,1/17/2025
RZUS,1/17/2025
SBT,1/17/2025
RZEK,1/17/2025
RZLV,1/17/2025
REPL,1/17/2025
SLAV,1/17/2025
SIL,1/17/2025
SDOM,1/17/2025
PKB,1/17/2025
TEAL,1/17/2025
RZTK,1/17/2025
SOLN,1/17/2025
VARG,1/17/2025
RADE,1/17/2025
TRUB,1/17/2025
RZIT,1/17/2025
TETE,1/17/2025
ZSIL,1/17/2025
RZUG,1/17/2025
SSPR,1/17/2025
STB,1/17/2025
SPOL,1/17/2025
SPAZ,1/17/2025
SPAZP,1/17/2025
TEHN,1/17/2025
TIKV,1/17/2025
VROS,1/17/2025
VSC,1/17/2025
STBP,1/17/2025
TEL,1/17/2025
TKVS,1/17/2025
TNB,1/17/2025
TTK,1/17/2025
VITA,1/17/2025
STIL,1/17/2025
TRPS,1/17/2025
ZILUP,1/17/2025
TKPR,1/17/2025
TSMP,1/17/2025
UNI,1/17/2025
USJE,1/17/2025
STOK,1/17/2025
ZILU,1/17/2025
ZKAR,1/17/2025
TRDB,1/17/2025
ZAS,1/17/2025
ZPOG,1/17/2025
ZPKO,1/17/2025
VTKS,1/17/2025
